<TICKER>;<CLOSE>
RTSI;1646.6
RTSI;1630.14
RTSI;1630.35
RTSI;1632
RTSI;1630.68
RTSI;1631.35
RTSI;1629.49
RTSI;1626.67
RTSI;1626.33
RTSI;1625.41
RTSI;1626.34
RTSI;1626.94
RTSI;1629.08
RTSI;1627.26
RTSI;1626.65
RTSI;1624.9
RTSI;1625.15
RTSI;1626.46
RTSI;1626.57
RTSI;1625.57
RTSI;1627.33
RTSI;1627.68
RTSI;1628.77
RTSI;1628.74
RTSI;1630.01
RTSI;1628.55
RTSI;1630.86
RTSI;1631.06
RTSI;1631.21
RTSI;1630.62
RTSI;1631.1
RTSI;1630.92
RTSI;1630.52
RTSI;1628.9
RTSI;1629.19
RTSI;1629.18
RTSI;1629.13
RTSI;1629.95
RTSI;1630.52
RTSI;1630.52
RTSI;1629.36
RTSI;1631.62
RTSI;1631.38
RTSI;1631.08
RTSI;1629.88
RTSI;1627.81
RTSI;1627.19
RTSI;1626.96
RTSI;1626.98
RTSI;1627.02
RTSI;1626.02
RTSI;1624.96
RTSI;1625.97
RTSI;1627.61
RTSI;1628.17
RTSI;1627.72
RTSI;1628.1
RTSI;1628.14
RTSI;1628.24
RTSI;1629.09
RTSI;1628.74
RTSI;1628.82
RTSI;1628.8
RTSI;1629.69
RTSI;1628.71
RTSI;1628.41
RTSI;1629.2
RTSI;1630.31
RTSI;1629.87
RTSI;1628.86
RTSI;1628.46
RTSI;1627.63
RTSI;1626.03
RTSI;1624.76
RTSI;1626.11
RTSI;1627.11
RTSI;1626.67
RTSI;1626.7
RTSI;1627.65
RTSI;1628.54
RTSI;1628
RTSI;1626.66
RTSI;1625.61
RTSI;1626.01
RTSI;1625.65
RTSI;1628.05
RTSI;1629.07
RTSI;1627.64
RTSI;1627.96
RTSI;1628.06
RTSI;1629.13
RTSI;1629.18
RTSI;1630.47
RTSI;1630.83
RTSI;1631.72
RTSI;1632.68
RTSI;1633.6
RTSI;1636.03
RTSI;1634.94
RTSI;1633.29
RTSI;1631.54
RTSI;1632.59
RTSI;1633.07
RTSI;1633.3
RTSI;1633.53
RTSI;1633.53
RTSI;1634.32
RTSI;1634.32
RTSI;1641.98
RTSI;1641.47
RTSI;1638.64
RTSI;1640.13
RTSI;1637.14
RTSI;1637.7
RTSI;1637.53
RTSI;1636.37
RTSI;1635.77
RTSI;1636.39
RTSI;1635.83
RTSI;1635.08
RTSI;1636.59
RTSI;1635.5
RTSI;1635.8
RTSI;1634.35
RTSI;1634.25
RTSI;1633.93
RTSI;1633.07
RTSI;1633.41
RTSI;1633.14
RTSI;1631.89
RTSI;1631.36
RTSI;1630.41
RTSI;1629.89
RTSI;1631.44
RTSI;1631.41
RTSI;1627.45
RTSI;1628.9
RTSI;1627.02
RTSI;1627.07
RTSI;1626.43
RTSI;1626.3
RTSI;1626.8
RTSI;1628.68
RTSI;1629.52
RTSI;1628.85
RTSI;1628.78
RTSI;1629.89
RTSI;1628.41
RTSI;1628.52
RTSI;1628.42
RTSI;1628.08
RTSI;1627.37
RTSI;1625.41
RTSI;1626.07
RTSI;1626.76
RTSI;1626.61
RTSI;1626.71
RTSI;1624.62
RTSI;1625.73
RTSI;1624.33
RTSI;1622.64
RTSI;1622.06
RTSI;1620.62
RTSI;1620.73
RTSI;1620.86
RTSI;1620.09
RTSI;1618.31
RTSI;1616.91
RTSI;1617.67
RTSI;1617.78
RTSI;1619.61
RTSI;1620.32
RTSI;1619.65
RTSI;1618.96
RTSI;1620.89
RTSI;1621.47
RTSI;1621.15
RTSI;1621.44
RTSI;1621.27
RTSI;1619.63
RTSI;1618.02
RTSI;1619.24
RTSI;1619.28
RTSI;1619.77
RTSI;1618.65
RTSI;1618.76
RTSI;1618.22
RTSI;1617.73
RTSI;1617.73
RTSI;1618.24
RTSI;1617.85
RTSI;1618.56
RTSI;1618.95
RTSI;1619.8
RTSI;1620.59
RTSI;1620.43
RTSI;1619.9
RTSI;1620.17
RTSI;1619.71
RTSI;1620.46
RTSI;1620.45
RTSI;1618.73
RTSI;1618.05
RTSI;1618.94
RTSI;1617.57
RTSI;1617.11
RTSI;1615.65
RTSI;1615.78
RTSI;1615.57
RTSI;1615.28
RTSI;1615.3
RTSI;1615.74
RTSI;1615.74
RTSI;1612.87
RTSI;1612.87
RTSI;1603.08
RTSI;1602.53
RTSI;1604.32
RTSI;1605.43
RTSI;1605.69
RTSI;1606.74
RTSI;1607.83
RTSI;1605.91
RTSI;1605
RTSI;1605.65
RTSI;1604.41
RTSI;1604.52
RTSI;1604.97
RTSI;1603.23
RTSI;1602.77
RTSI;1604.21
RTSI;1605.23
RTSI;1605.23
RTSI;1607.9
RTSI;1607.85
RTSI;1607.41
RTSI;1607.61
RTSI;1607.01
RTSI;1609.31
RTSI;1608.92
RTSI;1609.03
RTSI;1610.5
RTSI;1611.35
RTSI;1610.52
RTSI;1609.81
RTSI;1609.34
RTSI;1610.08
RTSI;1608.98
RTSI;1609.43
RTSI;1610.13
RTSI;1608.79
RTSI;1609.32
RTSI;1609.3
RTSI;1608.7
RTSI;1609.03
RTSI;1610
RTSI;1608.89
RTSI;1608.85
RTSI;1608.52
RTSI;1609.02
RTSI;1609.42
RTSI;1609.19
RTSI;1609.03
RTSI;1607.46
RTSI;1609.67
RTSI;1609.96
RTSI;1609.16
RTSI;1609.66
RTSI;1609.71
RTSI;1611.54
RTSI;1611.74
RTSI;1611.95
RTSI;1612.79
RTSI;1612.54
RTSI;1611.9
RTSI;1613.32
RTSI;1613.04
RTSI;1613.5
RTSI;1613.1
RTSI;1613.9
RTSI;1614.33
RTSI;1613.07
RTSI;1612.69
RTSI;1610.99
RTSI;1611.28
RTSI;1611.24
RTSI;1611.46
RTSI;1610.43
RTSI;1610.39
RTSI;1609.79
RTSI;1609.98
RTSI;1610.47
RTSI;1610.11
RTSI;1610.4
RTSI;1610.02
RTSI;1608.87
RTSI;1607.03
RTSI;1606.96
RTSI;1605.99
RTSI;1605.33
RTSI;1603.99
RTSI;1604.26
RTSI;1601.84
RTSI;1601.32
RTSI;1600.37
RTSI;1598.31
RTSI;1597.67
RTSI;1596.67
RTSI;1594.23
RTSI;1594.59
RTSI;1596.51
RTSI;1596.36
RTSI;1597.02
RTSI;1597.81
RTSI;1596.42
RTSI;1595.24
RTSI;1595.5
RTSI;1597.03
RTSI;1596.04
RTSI;1596.05
RTSI;1596.11
RTSI;1596.11
RTSI;1608.73
RTSI;1609.78
RTSI;1609.41
RTSI;1609.82
RTSI;1611.04
RTSI;1609.88
RTSI;1609.99
RTSI;1609.59
RTSI;1609.35
RTSI;1610.32
RTSI;1609.32
RTSI;1609.77
RTSI;1611.17
RTSI;1610.5
RTSI;1610.78
RTSI;1609.87
RTSI;1610.94
RTSI;1609.54
RTSI;1609.25
RTSI;1610.11
RTSI;1610.48
RTSI;1612.51
RTSI;1614.34
RTSI;1613.22
RTSI;1611.64
RTSI;1612
RTSI;1613.17
RTSI;1612.21
RTSI;1611.39
RTSI;1610.43
RTSI;1610.66
RTSI;1610.21
RTSI;1609.59
RTSI;1607.47
RTSI;1607.79
RTSI;1606.4
RTSI;1604.96
RTSI;1606.46
RTSI;1606.66
RTSI;1605.64
RTSI;1605.1
RTSI;1605.36
RTSI;1604.33
RTSI;1601.76
RTSI;1602.62
RTSI;1601.13
RTSI;1600.62
RTSI;1600.65
RTSI;1600.06
RTSI;1604.87
RTSI;1604.92
RTSI;1605.53
RTSI;1604.54
RTSI;1604.46
RTSI;1606.02
RTSI;1607.34
RTSI;1604.33
RTSI;1605.83
RTSI;1606.96
RTSI;1609.62
RTSI;1610.9
RTSI;1610.13
RTSI;1610.32
RTSI;1609.53
RTSI;1610.9
RTSI;1610.72
RTSI;1610.35
RTSI;1610.51
RTSI;1610.52
RTSI;1610.13
RTSI;1607.98
RTSI;1607.99
RTSI;1607.39
RTSI;1608.11
RTSI;1609.26
RTSI;1610.37
RTSI;1610.91
RTSI;1609.62
RTSI;1609.04
RTSI;1608.56
RTSI;1609.56
RTSI;1609.89
RTSI;1608.51
RTSI;1608.49
RTSI;1606.64
RTSI;1607.59
RTSI;1608.5
RTSI;1607.94
RTSI;1606.5
RTSI;1605.03
RTSI;1602.29
RTSI;1602.8
RTSI;1603.09
RTSI;1602.86
RTSI;1601.84
RTSI;1604.97
RTSI;1603.73
RTSI;1602.7
RTSI;1603.28
RTSI;1600.28
RTSI;1600.93
RTSI;1599.45
RTSI;1597.92
RTSI;1599.19
RTSI;1599.19
RTSI;1599.82
RTSI;1599.82
RTSI;1570.13
RTSI;1572.14
RTSI;1570.18
RTSI;1572.08
RTSI;1571.8
RTSI;1570.12
RTSI;1568.28
RTSI;1568.17
RTSI;1569.58
RTSI;1566.82
RTSI;1566.91
RTSI;1565.82
RTSI;1568.18
RTSI;1569.57
RTSI;1571.13
RTSI;1572.85
RTSI;1572.7
RTSI;1572.87
RTSI;1571.61
RTSI;1571.06
RTSI;1570.79
RTSI;1571.21
RTSI;1568.73
RTSI;1568.88
RTSI;1567.33
RTSI;1567.21
RTSI;1566.47
RTSI;1563.41
RTSI;1564.62
RTSI;1562.91
RTSI;1562.52
RTSI;1560.42
RTSI;1559.21
RTSI;1560.12
RTSI;1560.34
RTSI;1559.08
RTSI;1555.95
RTSI;1557.62
RTSI;1555.41
RTSI;1553.58
RTSI;1554.05
RTSI;1552.1
RTSI;1554.3
RTSI;1555.29
RTSI;1554
RTSI;1553.91
RTSI;1553.81
RTSI;1555.34
RTSI;1551.64
RTSI;1552
RTSI;1548.97
RTSI;1548.94
RTSI;1551.08
RTSI;1552.14
RTSI;1553.93
RTSI;1552.31
RTSI;1552.74
RTSI;1551.33
RTSI;1550.27
RTSI;1551.92
RTSI;1553.32
RTSI;1553.94
RTSI;1551.71
RTSI;1553.33
RTSI;1553.22
RTSI;1553.11
RTSI;1552.58
RTSI;1551.73
RTSI;1553.38
RTSI;1552.71
RTSI;1553.15
RTSI;1552.26
RTSI;1551.88
RTSI;1550.7
RTSI;1550.44
RTSI;1550.93
RTSI;1547.89
RTSI;1547.73
RTSI;1548.28
RTSI;1547.93
RTSI;1548
RTSI;1547.27
RTSI;1549.76
RTSI;1548.71
RTSI;1548.71
RTSI;1549.04
RTSI;1547.98
RTSI;1546.32
RTSI;1546.1
RTSI;1544.91
RTSI;1549.14
RTSI;1551.01
RTSI;1551.11
RTSI;1551.04
RTSI;1551.08
RTSI;1547.99
RTSI;1546.74
RTSI;1546.53
RTSI;1545.27
RTSI;1542.4
RTSI;1543.95
RTSI;1544.75
RTSI;1543.42
RTSI;1547.3
RTSI;1547.3
RTSI;1541.9
RTSI;1541.9
RTSI;1553.41
RTSI;1554.47
RTSI;1555.94
RTSI;1557.82
RTSI;1556.98
RTSI;1557.58
RTSI;1556.87
RTSI;1557.58
RTSI;1556.99
RTSI;1556.44
RTSI;1556.91
RTSI;1556.64
RTSI;1550.58
RTSI;1552.85
RTSI;1551.64
RTSI;1549.69
RTSI;1548.14
RTSI;1548.08
RTSI;1548.29
RTSI;1547.53
RTSI;1546.21
RTSI;1543.87
RTSI;1542.24
RTSI;1542.73
RTSI;1540.15
RTSI;1538.39
RTSI;1538.12
RTSI;1535.29
RTSI;1533.75
RTSI;1534.03
RTSI;1535.69
RTSI;1536.92
RTSI;1540.21
RTSI;1540.25
RTSI;1542.91
RTSI;1543.77
RTSI;1544.41
RTSI;1543.74
RTSI;1541.43
RTSI;1543.06
RTSI;1544.5
RTSI;1545.93
RTSI;1548.94
RTSI;1551.69
RTSI;1552.15
RTSI;1552.94
RTSI;1551.67
RTSI;1551.72
RTSI;1551.23
RTSI;1548.71
RTSI;1547.68
RTSI;1549.93
RTSI;1550.99
RTSI;1551.36
RTSI;1550.45
RTSI;1550.13
RTSI;1552.05
RTSI;1551.27
RTSI;1552.33
RTSI;1556.03
RTSI;1556.85
RTSI;1556.38
RTSI;1558.16
RTSI;1559
RTSI;1560.56
RTSI;1559.67
RTSI;1561.01
RTSI;1562.59
RTSI;1564.88
RTSI;1565.32
RTSI;1567.14
RTSI;1564.94
RTSI;1563.89
RTSI;1565.92
RTSI;1565.23
RTSI;1564.1
RTSI;1563.65
RTSI;1564.49
RTSI;1565.93
RTSI;1565.87
RTSI;1565.07
RTSI;1563.14
RTSI;1562.26
RTSI;1560.83
RTSI;1559.82
RTSI;1558.84
RTSI;1561.02
RTSI;1562.93
RTSI;1562.05
RTSI;1560.74
RTSI;1558.5
RTSI;1555.92
RTSI;1558.1
RTSI;1557.65
RTSI;1561.69
RTSI;1561.23
RTSI;1562.82
RTSI;1565.54
RTSI;1565.59
RTSI;1567.74
RTSI;1567.77
RTSI;1569.71
RTSI;1571.14
RTSI;1572.56
RTSI;1572.55
RTSI;1572.23
RTSI;1572.23
RTSI;1581.98
RTSI;1578.04
RTSI;1579.01
RTSI;1580.58
RTSI;1580.26
RTSI;1579.64
RTSI;1577.92
RTSI;1577.92
RTSI;1576.17
RTSI;1576.51
RTSI;1575.19
RTSI;1576.7
RTSI;1574.02
RTSI;1572.29
RTSI;1573.71
RTSI;1576.08
RTSI;1578.46
RTSI;1580.84
RTSI;1582.48
RTSI;1583.12
RTSI;1581.22
RTSI;1581.03
RTSI;1582
RTSI;1581.27
RTSI;1578.73
RTSI;1577.99
RTSI;1575.69
RTSI;1576.31
RTSI;1574.39
RTSI;1576.55
RTSI;1578.09
RTSI;1577.95
RTSI;1577.46
RTSI;1578.15
RTSI;1577.67
RTSI;1577.65
RTSI;1577.31
RTSI;1577.82
RTSI;1578.75
RTSI;1579.04
RTSI;1579.74
RTSI;1577.74
RTSI;1576.63
RTSI;1577.4
RTSI;1577.78
RTSI;1577.6
RTSI;1579.11
RTSI;1578.59
RTSI;1578.5
RTSI;1577.84
RTSI;1576.71
RTSI;1575.9
RTSI;1575.78
RTSI;1576.85
RTSI;1574.4
RTSI;1575.25
RTSI;1575.97
RTSI;1576.97
RTSI;1578.1
RTSI;1577.83
RTSI;1576.99
RTSI;1576.68
RTSI;1577.98
RTSI;1577.44
RTSI;1577.59
RTSI;1577.59
RTSI;1577.36
RTSI;1577.41
RTSI;1576.85
RTSI;1576
RTSI;1574.74
RTSI;1574.62
RTSI;1573.99
RTSI;1573.15
RTSI;1572.45
RTSI;1573.33
RTSI;1574.57
RTSI;1575.59
RTSI;1576.09
RTSI;1575.54
RTSI;1574.9
RTSI;1575.94
RTSI;1574.69
RTSI;1575.26
RTSI;1575.89
RTSI;1575.46
RTSI;1575.13
RTSI;1576.6
RTSI;1575.69
RTSI;1577.02
RTSI;1576.62
RTSI;1575.75
RTSI;1575.14
RTSI;1572.27
RTSI;1572.31
RTSI;1567.92
RTSI;1563.94
RTSI;1565.73
RTSI;1567.55
RTSI;1568.74
RTSI;1570.09
RTSI;1570.99
RTSI;1568.71
RTSI;1571.49
RTSI;1571.49
RTSI;1570.65
RTSI;1570.65
RTSI;1552.62
RTSI;1550.74
RTSI;1552.78
RTSI;1551.64
RTSI;1551.67
RTSI;1552.34
RTSI;1552.04
RTSI;1548.91
RTSI;1549.62
RTSI;1549.79
RTSI;1548.35
RTSI;1549.11
RTSI;1548.13
RTSI;1550.64
RTSI;1552.72
RTSI;1551.68
RTSI;1552.04
RTSI;1552.56
RTSI;1551.31
RTSI;1552.77
RTSI;1554.02
RTSI;1554.57
RTSI;1556.05
RTSI;1556.84
RTSI;1558.39
RTSI;1559.4
RTSI;1558.11
RTSI;1559.58
RTSI;1560.83
RTSI;1560.98
RTSI;1559.47
RTSI;1559.96
RTSI;1559.37
RTSI;1558.09
RTSI;1560.16
RTSI;1559.85
RTSI;1558.72
RTSI;1558.12
RTSI;1557.06
RTSI;1556.39
RTSI;1555.89
RTSI;1556.61
RTSI;1556.68
RTSI;1556.14
RTSI;1556.84
RTSI;1559.48
RTSI;1560
RTSI;1559.24
RTSI;1558.41
RTSI;1556.97
RTSI;1556.1
RTSI;1555.69
RTSI;1554.31
RTSI;1554.67
RTSI;1553.97
RTSI;1553.77
RTSI;1553.62
RTSI;1552.77
RTSI;1550.93
RTSI;1552.3
RTSI;1551.69
RTSI;1551.29
RTSI;1553.71
RTSI;1554.24
RTSI;1551.86
RTSI;1551.9
RTSI;1552.69
RTSI;1553.12
RTSI;1552.86
RTSI;1551.47
RTSI;1551.34
RTSI;1551.04
RTSI;1551.97
RTSI;1552.92
RTSI;1553.74
RTSI;1553.41
RTSI;1555.72
RTSI;1555.19
RTSI;1557.93
RTSI;1557.24
RTSI;1555.62
RTSI;1554.72
RTSI;1554.13
RTSI;1554.39
RTSI;1554.89
RTSI;1554.94
RTSI;1552.91
RTSI;1550.82
RTSI;1551.17
RTSI;1546.27
RTSI;1549.13
RTSI;1553.72
RTSI;1553.23
RTSI;1554.91
RTSI;1552.06
RTSI;1550.72
RTSI;1550.08
RTSI;1553.24
RTSI;1550.53
RTSI;1549.06
RTSI;1546.63
RTSI;1546.65
RTSI;1545.6
RTSI;1545.11
RTSI;1545.11
RTSI;1544.55
RTSI;1544.55
RTSI;1558.7
RTSI;1565.61
RTSI;1565.57
RTSI;1564.53
RTSI;1562.8
RTSI;1562.13
RTSI;1562.84
RTSI;1562.98
RTSI;1563.37
RTSI;1564.21
RTSI;1561.94
RTSI;1562.13
RTSI;1561.91
RTSI;1562.5
RTSI;1560.56
RTSI;1559.64
RTSI;1558.72
RTSI;1558.98
RTSI;1558.05
RTSI;1558.54
RTSI;1558.8
RTSI;1559.11
RTSI;1559.26
RTSI;1556.16
RTSI;1556.49
RTSI;1556.92
RTSI;1556.58
RTSI;1556.78
RTSI;1555.18
RTSI;1555.74
RTSI;1552.97
RTSI;1552.01
RTSI;1552.01
RTSI;1551.79
RTSI;1549.91
RTSI;1548.82
RTSI;1548.83
RTSI;1546.78
RTSI;1544.37
RTSI;1543.06
RTSI;1542.88
RTSI;1543.04
RTSI;1540.79
RTSI;1538.53
RTSI;1538.34
RTSI;1541.68
RTSI;1541.11
RTSI;1540.53
RTSI;1540.56
RTSI;1541.86
RTSI;1542.38
RTSI;1541.12
RTSI;1540.99
RTSI;1539.53
RTSI;1535.39
RTSI;1535.48
RTSI;1534.38
RTSI;1535.87
RTSI;1538.46
RTSI;1537.74
RTSI;1539.84
RTSI;1538.71
RTSI;1540.72
RTSI;1542.55
RTSI;1540.35
RTSI;1539.85
RTSI;1540.28
RTSI;1538.7
RTSI;1536.2
RTSI;1534.4
RTSI;1535.25
RTSI;1532.21
RTSI;1532.62
RTSI;1533.62
RTSI;1533.56
RTSI;1533.29
RTSI;1533.82
RTSI;1533.15
RTSI;1532.7
RTSI;1531.11
RTSI;1531.89
RTSI;1530.2
RTSI;1531.15
RTSI;1532.95
RTSI;1532.48
RTSI;1532.5
RTSI;1534.98
RTSI;1533.2
RTSI;1532.1
RTSI;1531.39
RTSI;1530.63
RTSI;1529.72
RTSI;1528.15
RTSI;1527.1
RTSI;1526.56
RTSI;1527.94
RTSI;1525.38
RTSI;1523.32
RTSI;1521.64
RTSI;1521.36
RTSI;1522.57
RTSI;1521.1
RTSI;1521.79
RTSI;1518.68
RTSI;1518.68
RTSI;1517.07
RTSI;1517.07
RTSI;1515.42
RTSI;1520.88
RTSI;1517.11
RTSI;1518.14
RTSI;1518.58
RTSI;1515.21
RTSI;1515.4
RTSI;1515.43
RTSI;1514.19
RTSI;1516.73
RTSI;1517.52
RTSI;1516.83
RTSI;1517.83
RTSI;1516.61
RTSI;1513.11
RTSI;1513.28
RTSI;1511.15
RTSI;1510.99
RTSI;1510.28
RTSI;1511.25
RTSI;1512.6
RTSI;1512.87
RTSI;1513.84
RTSI;1513.65
RTSI;1515.14
RTSI;1518.06
RTSI;1519.38
RTSI;1520.27
RTSI;1518.23
RTSI;1517.47
RTSI;1516.42
RTSI;1515.83
RTSI;1517.87
RTSI;1517.81
RTSI;1517.33
RTSI;1515.49
RTSI;1515.56
RTSI;1515.06
RTSI;1516.11
RTSI;1517.06
RTSI;1516.35
RTSI;1517.39
RTSI;1517.34
RTSI;1516.45
RTSI;1515.21
RTSI;1517.33
RTSI;1516.54
RTSI;1516.64
RTSI;1517.53
RTSI;1520.25
RTSI;1522.55
RTSI;1520.98
RTSI;1521.14
RTSI;1520.92
RTSI;1520.21
RTSI;1520.81
RTSI;1521.78
RTSI;1522.17
RTSI;1523.56
RTSI;1523.47
RTSI;1522.21
RTSI;1521.43
RTSI;1520.8
RTSI;1520.13
RTSI;1517.74
RTSI;1518.2
RTSI;1515.14
RTSI;1514.59
RTSI;1515.02
RTSI;1515.46
RTSI;1515.57
RTSI;1514.8
RTSI;1514.69
RTSI;1513.98
RTSI;1515.32
RTSI;1517.89
RTSI;1517.48
RTSI;1520.63
RTSI;1521.64
RTSI;1520.42
RTSI;1520.56
RTSI;1519.52
RTSI;1517.91
RTSI;1518.98
RTSI;1518.76
RTSI;1518.13
RTSI;1518.36
RTSI;1517.31
RTSI;1517.65
RTSI;1516.62
RTSI;1516.42
RTSI;1518.48
RTSI;1518.22
RTSI;1521.88
RTSI;1525.43
RTSI;1524.81
RTSI;1529.63
RTSI;1525.07
RTSI;1523.69
RTSI;1525.84
RTSI;1523.5
RTSI;1525.04
RTSI;1523.64
RTSI;1523.65
RTSI;1523.65
RTSI;1521.16
RTSI;1521.16
RTSI;1531.51
RTSI;1531.51
RTSI;1529.27
RTSI;1530.13
RTSI;1531.46
RTSI;1531.32
RTSI;1530.61
RTSI;1528.94
RTSI;1527.79
RTSI;1527.66
RTSI;1526.19
RTSI;1525.69
RTSI;1529.44
RTSI;1528.5
RTSI;1528.18
RTSI;1529
RTSI;1531.46
RTSI;1531.34
RTSI;1529.22
RTSI;1529.95
RTSI;1531.08
RTSI;1531.65
RTSI;1534.52
RTSI;1534.28
RTSI;1536.11
RTSI;1534.33
RTSI;1534.36
RTSI;1533.95
RTSI;1532.97
RTSI;1534.07
RTSI;1534.1
RTSI;1535.49
RTSI;1534.99
RTSI;1535.96
RTSI;1537.06
RTSI;1535.37
RTSI;1534.79
RTSI;1534.56
RTSI;1535.55
RTSI;1534.51
RTSI;1535.57
RTSI;1536.63
RTSI;1536.09
RTSI;1537.83
RTSI;1537.95
RTSI;1536.96
RTSI;1537.69
RTSI;1537.97
RTSI;1537.47
RTSI;1537.37
RTSI;1538.62
RTSI;1538.47
RTSI;1538.32
RTSI;1538.46
RTSI;1538.73
RTSI;1538.16
RTSI;1538.6
RTSI;1538.58
RTSI;1535.62
RTSI;1535.87
RTSI;1534.39
RTSI;1534.05
RTSI;1535.09
RTSI;1537.1
RTSI;1537.22
RTSI;1539.62
RTSI;1539.44
RTSI;1539.81
RTSI;1541.4
